"brand","model","fuel_type","drop_percent"
acura,tlx technology,gasoline,29.09962871287129
acura,tlx technology,gasoline,27.818172442244226
acura,tlx technology,gasoline,27.818172442244226
acura,tlx technology,gasoline,32.20142326732673
acura,tlx technology,gasoline,20.08302392739274
acura,tlx technology,gasoline,35.80084570957096
acura,tlx base,gasoline,31.541390419895095
acura,tlx base,gasoline,16.4150491253295
acura,tlx technology,gasoline,38.24773102310231
audi,rs 5 2.9t,gasoline,35.13446059774131
audi,rs 5 2.9t,gasoline,36.17894802520746
audi,rs 5 2.9t,gasoline,35.11574218506271
audi,rs 5 2.9t,gasoline,37.66893367442441
audi,rs 5 2.9t,gasoline,25.12759717975916
audi,rs 5 2.9t,gasoline,33.23766144630935
audi,rs 5 2.9t,gasoline,35.116990079241276
audi,rs 5 2.9t,gasoline,29.14831222312348
audi,rs 5 2.9t,gasoline,26.414176077868596
audi,rs 5 2.9t,gasoline,25.13258875647345
audi,rs 5 2.9t,gasoline,37.61153054221002
audi,rs 5 2.9t,gasoline,27.624633431085044
audi,rs 5 2.9t,gasoline,37.85486990703188
audi,rs 5 2.9t,gasoline,32.628689087165405
audi,rs 5 2.9t,gasoline,41.48125038996693
audi,rs 5 2.9t,gasoline,33.23766144630935
audi,rs 5 2.9t,gasoline,33.826667498596116
audi,rs 5 2.9t,gasoline,37.61777001310289
audi,rs 5 2.9t,gasoline,35.039620640169716
audi,rs 5 2.9t,gasoline,37.60653896549573
audi,rs 5 2.9t,gasoline,37.63024895488862
audi,rs 5 2.9t,gasoline,30.25769014787546
audi,rs 5 2.9t,gasoline,35.12198165595557
audi,rs 5 2.9t,gasoline,26.62881387658327
audi,rs 5 2.9t,gasoline,33.86784800648905
audi,rs 5 2.9t,gasoline,27.633368690335057
audi,rs 5 2.9t,gasoline,42.0178448867536
audi,rs 5 2.9t,gasoline,28.87627129219442
audi,rs 5 2.9t,gasoline,32.624945404629685
audi,rs 5 2.9t,gasoline,27.634616584513633
audi,rs 5 2.9t,gasoline,35.98427653334998
audi,rs 3 2.5t,gasoline,33.34975816595132
audi,rs 3 2.5t,gasoline,28.811317574138666
audi,rs 3 2.5t,gasoline,35.18199146773169
audi,rs 3 2.5t,gasoline,36.72117117701215
audi,rs 3 2.5t,gasoline,35.16643109998833
audi,rs 3 2.5t,gasoline,22.846509939184894
audi,rs 3 2.5t,gasoline,23.497451989782025
audi,rs 3 2.5t,gasoline,37.72481489645872
audi,rs 3 2.5t,gasoline,22.327831014406307
audi,rs 3 2.5t,gasoline,37.75852902656933
audi,rs 3 2.5t,gasoline,34.440280605298305
audi,rs 3 2.5t,gasoline,32.57822326534317
audi,rs 3 2.5t,gasoline,29.7190056925012
audi,rs 3 2.5t,gasoline,35.813483058649624
audi,rs 3 2.5t,gasoline,37.90116573088344
audi,rs 3 2.5t,gasoline,38.406877682542564
audi,rs 3 2.5t,gasoline,28.68813132950375
audi,rs 3 2.5t,gasoline,26.089549916363026
audi,rs 3 2.5t,gasoline,35.17161788923612
audi,rs 3 2.5t,gasoline,45.54908647674373
audi,rs 3 2.5t,gasoline,35.254606517200685
audi,rs 3 2.5t,gasoline,37.11018037059609
audi,rs 3 2.5t,gasoline,43.71685317496337
audi,rs 3 2.5t,gasoline,33.868437090729905
audi,s5 3.0t prestige,gasoline,44.20141058834033
audi,s5 3.0t premium plus,gasoline,33.690005554284966
audi,s5 3.0t prestige,gasoline,41.979882748564116
audi,s5 3.0t premium plus,gasoline,60.80145064854445
audi,s5 3.0t prestige,gasoline,40.48448055233164
audi,s5 3.0t prestige,gasoline,36.01761747463024
audi,s5 3.0t premium plus,gasoline,41.18992387362368
audi,s5 3.0t premium plus,gasoline,42.82680432580782
audi,s5 3.0t premium plus,gasoline,37.93086548828699
audi,s5 3.0t premium plus,gasoline,41.18992387362368
audi,s5 3.0t premium plus,gasoline,40.221191230764205
audi,s5 3.0t premium plus,gasoline,46.1005652301761
audi,s5 3.0t prestige,gasoline,47.345475106389316
audi,s5 3.0t prestige,gasoline,44.54364193673184
audi,s5 3.0t premium plus,gasoline,48.549351455549385
audi,s5 3.0t premium plus,gasoline,39.73927532917306
audi,s5 prestige,gasoline,54.73958558325054
audi,s5 3.0t premium plus,gasoline,29.779135491880943
audi,s5 3.0t prestige,gasoline,47.177335356962175
audi,s5 3.0t premium plus,gasoline,49.35799000228706
audi,s5 3.0t premium plus,gasoline,55.08380435848008
audi,s5 3.0t prestige,gasoline,36.04440079754784
audi,s5 3.0t premium plus,gasoline,26.503740974286927
audi,s5 3.0t prestige,gasoline,55.36856828259381
audi,s5 3.0t prestige,gasoline,24.15111745975062
audi,s5 3.0t premium plus,gasoline,40.405789525272
audi,s5 3.0t prestige,gasoline,44.507930839508376
audi,s5 3.0t premium plus,gasoline,42.879079949031265
audi,s5 3.0t prestige,gasoline,42.26705948873612
audi,s5 3.0t prestige,gasoline,46.440793976728266
audi,s5 3.0t premium plus,gasoline,36.29235142287712
audi,s5 3.0t prestige,gasoline,41.83406243490165
audi,s5 3.0t prestige,gasoline,35.2081659375651
audi,s5 3.0t prestige,gasoline,34.59661339761331
audi,s5 3.0t premium plus,gasoline,39.642892148854834
audi,s5 3.0t premium plus,gasoline,28.124285294213742
audi,s5 3.0t prestige,gasoline,28.592685176918724
audi,s5 3.0t prestige,gasoline,36.690176472338784
audi,s5 3.0t prestige,gasoline,48.537332976222366
audi,s5 prestige,gasoline,42.430918542197645
audi,s5 3.0t premium plus,gasoline,31.39641258535629
audi,s5 3.0t premium plus,gasoline,34.657104583918716
audi,s5 3.0t premium plus,gasoline,36.95886561897605
audi,s5 3.0t premium plus,gasoline,55.89407651844349
audi,s5 3.0t prestige,gasoline,41.97095497425825
audi,s5 3.0t prestige,gasoline,38.996518168020714
