"brand","model","fuel_type","new_price","used_price","drop_percent"
mazda,mx-5 miata club,gasoline,34952.0,24949.0,28.62
bmw,x2 xdrive28i,gasoline,37798.0,26993.0,28.59
buick,encore preferred,gasoline,25389.0,18153.0,28.5
bmw,m240 i xdrive,gasoline,53147.0,38011.0,28.48
chevrolet,trax lt,gasoline,23924.0,17159.0,28.28
subaru,legacy,gasoline,30739.0,22057.0,28.24
dodge,charger srt hellcat,gasoline,91999.0,66067.0,28.19
jeep,compass latitude,gasoline,28344.0,20353.0,28.19
mitsubishi,mirage g4 es,gasoline,17383.0,12490.0,28.15
ram,"2500 laramie",gasoline,62581.0,45025.0,28.05
mitsubishi,eclipse cross le,gasoline,26389.0,18993.0,28.03
ram,"2500 tradesman crew cab 4x4 6'4' box",gasoline,49115.0,35373.0,27.98
toyota,sequoia limited,gasoline,60409.0,43506.0,27.98
mitsubishi,outlander sport es,gasoline,24107.0,17392.0,27.85
toyota,camry xse,gasoline,35445.0,25577.0,27.84
lexus,is 300 base,gasoline,40500.0,29241.0,27.8
mitsubishi,eclipse cross se,gasoline,26669.0,19255.0,27.8
ram,"2500 laramie crew cab 4x4 6'4' box",gasoline,64864.0,46845.0,27.78
chevrolet,camaro 1ss,gasoline,47555.0,34356.0,27.76
subaru,wrx premium,gasoline,33565.0,24265.0,27.71
toyota,corolla se,gasoline,26548.0,19202.0,27.67
chevrolet,camaro 2ss,gasoline,53526.0,38747.0,27.61
subaru,wrx limited,gasoline,36776.0,26649.0,27.54
toyota,tacoma trd off-ro,gasoline,45225.0,32792.0,27.49
dodge,challenger r/t plus,gasoline,44110.0,31997.0,27.46
chevrolet,equinox ls,gasoline,26130.0,18962.0,27.43
honda,civic ex-l,gasoline,29420.0,21349.0,27.43
lexus,es 350,gasoline,44429.0,32250.0,27.41
jeep,wrangler unlimited sport,gasoline,44908.0,32620.0,27.36
kia,rio lx,gasoline,20091.0,14600.0,27.33
toyota,c-hr xle,gasoline,29028.0,21126.0,27.22
mazda,cx-9 sport,gasoline,33062.0,24099.0,27.11
lexus,rc f base,gasoline,72610.0,52970.0,27.05
kia,stinger gt1,gasoline,41847.0,30538.0,27.02
toyota,rav4 le,gasoline,31146.0,22755.0,26.94
chevrolet,malibu lt,gasoline,24273.0,17738.0,26.92
toyota,"4runner trd pro",gasoline,61181.0,44752.0,26.85
honda,odyssey lx,gasoline,33498.0,24512.0,26.83
jeep,wrangler sport,gasoline,41825.0,30636.0,26.75
lexus,rx 350 rx 350,gasoline,50800.0,37229.0,26.71
toyota,"4runner limited",gasoline,52095.0,38185.0,26.7
jeep,wrangler unlimited sahara,gasoline,50105.0,36734.0,26.69
chevrolet,malibu 1ls,gasoline,24144.0,17716.0,26.62
honda,civic touring,gasoline,31018.0,22764.0,26.61
dodge,durango gt awd,gasoline,40123.0,29450.0,26.6
tesla,model 3 long range,electric,47267.0,34709.0,26.57
honda,ridgeline black edition,gasoline,43557.0,31990.0,26.56
chevrolet,trax ls,gasoline,22403.0,16465.0,26.51
nissan,rogue sport s,gasoline,25212.0,18554.0,26.41
honda,accord ex-l,gasoline,32697.0,24090.0,26.32
dodge,durango r/t rwd,gasoline,44000.0,32425.0,26.31
chevrolet,equinox lt,gasoline,27299.0,20152.0,26.18
porsche,"911 carrera s",gasoline,146947.0,108475.0,26.18
porsche,"718 cayman s",gasoline,89896.0,66393.0,26.14
tesla,model 3 performance,electric,51662.0,38161.0,26.13
jeep,wrangler unlimited rubicon,gasoline,56169.0,41527.0,26.07
honda,ridgeline sport,gasoline,36254.0,26832.0,25.99
hyundai,accent se,gasoline,20353.0,15066.0,25.98
lexus,es 350 es 350,gasoline,44316.0,32801.0,25.98
toyota,camry,gasoline,30809.0,22807.0,25.97
gmc,sierra 3500 sle,gasoline,61175.0,45297.0,25.96
nissan,kicks sr,gasoline,26257.0,19443.0,25.95
chevrolet,camaro 2lt,gasoline,37550.0,27814.0,25.93
toyota,camry se,gasoline,29834.0,22148.0,25.76
nissan,titan xd pro-4x,gasoline,51241.0,38058.0,25.73
lexus,rc 350 base,gasoline,51984.0,38634.0,25.68
lexus,rx 350 base,gasoline,50950.0,37870.0,25.67
chevrolet,spark ls,gasoline,18516.0,13770.0,25.63
chevrolet,silverado 3500 wt,gasoline,57687.0,42936.0,25.57
ford,transit connect xl w/rear liftgate,gasoline,33300.0,24800.0,25.53
dodge,challenger sxt,gasoline,32181.0,23967.0,25.52
honda,accord sport 2.0t,gasoline,34334.0,25588.0,25.47
honda,cr-v,gasoline,34412.0,25655.0,25.45
nissan,maxima sv,gasoline,26740.0,19950.0,25.39
mitsubishi,eclipse cross,gasoline,28343.0,21156.0,25.36
toyota,camry le,gasoline,27855.0,20809.0,25.3
bmw,x2 sdrive28i,gasoline,34334.0,25654.0,25.28
ford,ecosport s,gasoline,22233.0,16615.0,25.27
audi,tt 2.0t,gasoline,52781.0,39478.0,25.2
honda,accord sport,gasoline,31561.0,23628.0,25.14
kia,niro lx,gasoline,25355.0,18997.0,25.08
toyota,corolla le,gasoline,24025.0,18012.0,25.03
jeep,wrangler rubicon 4x4,gasoline,51962.0,38967.0,25.01
gmc,canyon denali,gasoline,42966.0,32237.0,24.97
gmc,sierra 2500 slt,gasoline,64707.0,48616.0,24.87
hyundai,kona limited,gasoline,28472.0,21407.0,24.81
mitsubishi,mirage es,gasoline,17013.0,12801.0,24.76
honda,cr-v ex-l,gasoline,34557.0,26004.0,24.75
porsche,"718 cayman",gasoline,82309.0,61995.0,24.68
toyota,rav4 hybrid limited,gasoline,43765.0,32997.0,24.6
honda,civic si,gasoline,31970.0,24121.0,24.55
ram,"3500 laramie",gasoline,69523.0,52560.0,24.4
kia,rio s,gasoline,20227.0,15309.0,24.31
mitsubishi,eclipse cross es,gasoline,23736.0,17972.0,24.28
toyota,"4runner trd off road premium",gasoline,48837.0,36998.0,24.24
nissan,maxima 3.5 sv,gasoline,26405.0,20025.0,24.16
nissan,kicks sv,gasoline,24634.0,18687.0,24.14
gmc,sierra 3500 denali,gasoline,77059.0,58482.0,24.11
hyundai,santa fe se,gasoline,28595.0,21703.0,24.1
volkswagen,passat 2.0t se,gasoline,25841.0,19617.0,24.09
ford,f-350 lariat,gasoline,68249.0,51815.0,24.08
ford,mustang ecoboost,gasoline,31264.0,23735.0,24.08
jeep,renegade sport 4x4,gasoline,25649.0,19483.0,24.04
honda,cr-v touring,gasoline,36580.0,27791.0,24.03
acura,ilx premium package,gasoline,28785.0,21874.0,24.01
nissan,leaf s,electric,24533.0,18653.0,23.97
jeep,wrangler sport s,gasoline,39747.0,30224.0,23.96
toyota,"4runner sr5 premiu",gasoline,46611.0,35497.0,23.84
dodge,challenger r/t,gasoline,39926.0,30420.0,23.81
chevrolet,colorado z71,gasoline,39680.0,30290.0,23.66
chevrolet,silverado 3500 ltz,gasoline,69148.0,52800.0,23.64
subaru,wrx base,gasoline,31377.0,23967.0,23.62
honda,civic sport touring,gasoline,32386.0,24745.0,23.59
honda,civic lx,gasoline,25860.0,19809.0,23.4
mazda,mx-5 miata rf grand touring,gasoline,34050.0,26096.0,23.36
jeep,renegade latitude 4x4,gasoline,27137.0,20801.0,23.35
honda,civic ex,gasoline,28276.0,21716.0,23.2
lexus,rc 300,gasoline,48003.0,36887.0,23.16
toyota,"4runner sr5 premium",gasoline,46059.0,35390.0,23.16
honda,cr-v ex,gasoline,32182.0,24749.0,23.1
dodge,challenger gt awd,gasoline,38872.0,30037.0,22.73
honda,hr-v ex,gasoline,26709.0,20658.0,22.66
toyota,tacoma trd pro,gasoline,54390.0,42149.0,22.51
hyundai,kona sel,gasoline,25597.0,19844.0,22.48
porsche,"911 carrera 4s",gasoline,148498.0,115246.0,22.39
ram,"2500 limited",gasoline,72086.0,55955.0,22.38
nissan,leaf sv,electric,25268.0,19616.0,22.37
honda,accord lx,gasoline,27955.0,21736.0,22.25
toyota,tacoma limited,gasoline,47163.0,36685.0,22.22
lexus,rc 300 f sport,gasoline,46249.0,35985.0,22.19
chevrolet,colorado zr2,gasoline,45707.0,35614.0,22.08
dodge,durango sxt awd,gasoline,34761.0,27123.0,21.97
gmc,sierra 2500 sle,gasoline,57594.0,44995.0,21.88
lexus,is 350 base,gasoline,45173.0,35292.0,21.87
ram,"2500 big horn",gasoline,51914.0,40644.0,21.71
toyota,tundra sr,gasoline,41618.0,32635.0,21.58
chevrolet,spark 2lt,gasoline,21663.0,16998.0,21.53
volvo,xc60 recharge plug-in hybrid t8 inscription,gasoline,51822.0,40675.0,21.51
honda,accord hybrid ex-l,gasoline,34997.0,27495.0,21.44
acura,ilx base,gasoline,27446.0,21566.0,21.42
honda,hr-v lx,gasoline,25384.0,19983.0,21.28
dodge,challenger srt hellcat,gasoline,89466.0,70605.0,21.08
honda,accord hybrid touring,gasoline,36492.0,28852.0,20.94
toyota,corolla l,gasoline,22670.0,17932.0,20.9
ford,f-350 lariat super duty,gasoline,70343.0,55663.0,20.87
chevrolet,colorado lt,gasoline,34275.0,27178.0,20.71
toyota,tacoma trd off-road,gasoline,44117.0,34989.0,20.69
ford,mustang gt premium,gasoline,46750.0,37080.0,20.68
toyota,tacoma sr5,gasoline,38781.0,30808.0,20.56
chevrolet,camaro 1lt,gasoline,31075.0,24708.0,20.49
hyundai,kona se,gasoline,22435.0,17882.0,20.29
toyota,tacoma sr,gasoline,35472.0,28351.0,20.07
porsche,"718 boxster s",gasoline,87422.0,69955.0,19.98
chevrolet,camaro 1ls,gasoline,28200.0,22575.0,19.95
toyota,"4runner trail",gasoline,47379.0,37950.0,19.9
subaru,impreza limited,gasoline,27508.0,22038.0,19.89
hyundai,accent sel,gasoline,20639.0,16542.0,19.85
subaru,brz limited,gasoline,33502.0,27008.0,19.38
mitsubishi,mirage se,gasoline,17678.0,14254.0,19.37
lexus,rc 300 base,gasoline,46051.0,37156.0,19.32
ford,mustang gt,gasoline,43605.0,35192.0,19.29
chevrolet,camaro zl1,gasoline,75819.0,61276.0,19.18
toyota,"4runner sr5 4wd",gasoline,43020.0,34921.0,18.83
jeep,wrangler unlimited sport s,gasoline,40990.0,33363.0,18.61
toyota,tacoma trd off road,gasoline,44264.0,36062.0,18.53
toyota,tacoma trd sport,gasoline,43343.0,35376.0,18.38
mazda,mx-5 miata grand touring,gasoline,32177.0,26267.0,18.37
toyota,highlander hybrid limited,gasoline,48999.0,39998.0,18.37
jeep,wrangler sport s 4x4,gasoline,41139.0,33605.0,18.31
nissan,kicks s,gasoline,22191.0,18156.0,18.18
toyota,"4runner sr5",gasoline,41246.0,33782.0,18.1
tesla,model 3 base,electric,41439.0,33995.0,17.96
honda,civic sport,gasoline,27971.0,22989.0,17.81
toyota,"4runner trd off road",gasoline,45194.0,37164.0,17.77
toyota,highlander,gasoline,39577.0,32577.0,17.69
toyota,tacoma,gasoline,40954.0,33721.0,17.66
mazda,mx-5 miata sport,gasoline,27990.0,23109.0,17.44
chevrolet,spark 1lt,gasoline,18418.0,15225.0,17.34
chevrolet,spark activ,gasoline,19650.0,16245.0,17.33
subaru,forester,gasoline,27742.0,22981.0,17.16
acura,ilx premium & a-spec packages,gasoline,30045.0,24962.0,16.92
honda,cr-v lx,gasoline,28588.0,23824.0,16.66
chevrolet,colorado 4wd z71,gasoline,37995.0,31750.0,16.44
dodge,challenger gt,gasoline,35066.0,29434.0,16.06
hyundai,accent limited,gasoline,22419.0,18952.0,15.46
lexus,rc 350 rc 350 f sport,gasoline,52924.0,44888.0,15.18
jeep,wrangler sport 4x4,gasoline,36555.0,31140.0,14.81
jaguar,xf s,gasoline,42999.0,36935.0,14.1
toyota,tacoma base,gasoline,42299.0,36407.0,13.93
subaru,crosstrek limited,gasoline,31989.0,27990.0,12.5
ford,transit connect xlt,gasoline,34249.0,29977.0,12.47
lexus,is 350 is 350 f sport,gasoline,44496.0,39122.0,12.08
mitsubishi,outlander sport s,gasoline,23662.0,20995.0,11.27
toyota,"4runner trd off-ro",gasoline,47564.0,43789.0,7.94
chevrolet,silverado 2500 ltz,gasoline,62218.0,58849.0,5.41
